Face,1,111,F
Fox,2,111,F
Fly,3,111,F
Faith,4,111,F
Free,5,111,F
Box,6,222,B
Bike,7,222,B
Body,8,222,B
Boom,9,222,B
Born,10,222,B
Pan,11,333,P
Pink,12,333,P
Push,13,333,P
Pool,14,333,P
Peace,15,333,P
Milk,16,444,M
Mix,17,444,M
Mind,18,444,M
Mood,19,444,M
Max,20,444,M
Sing,21,555,S
Soul,22,555,S
Sea,23,555,S
Six,24,555,S
Sweet,25,555,S
